condition_id,run_type,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,final_parsimony,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gemini_3_flash_preview_parsimony,xm_gemini_3_flash_preview_total,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty,xm_gpt_5_4_nano_parsimony,xm_gpt_5_4_nano_total,best_baseline_a_xm_gemini_3_flash_preview,best_baseline_b_xm_gemini_3_flash_preview,score_vs_baseline_a_gemini_3_flash_preview,score_vs_baseline_b_gemini_3_flash_preview,best_baseline_a_xm_gpt_5_4_nano,best_baseline_b_xm_gpt_5_4_nano,score_vs_baseline_a_gpt_5_4_nano,score_vs_baseline_b_gpt_5_4_nano,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,score_drop_warnings,status,elapsed_ms,error
s1__t3__gpt_5_4_mini__m5v2di,feedback_only,Line,Depth and layered transparency,gpt-5.4-mini,1,15,11,6,5,0,7,5,,12.00,8,6,,14.00,7,8,0.00,-1.00,7,8,1.00,0.00,12,2,884,1.6898,0.1802,1,completed,70977,
s1__t3__gpt_5_4_mini__m5v2di,feedback_only,Line,Depth and layered transparency,gpt-5.4-mini,2,15,13,7,6,0,7,4,,11.00,8,6,,14.00,7,8,0.00,-1.00,7,8,1.00,0.00,11,2,609,2.1506,0.1512,1,completed,65239,
s1__t3__gpt_5_4_mini__m5v2rb,evolution,Line,Depth and layered transparency,gpt-5.4-mini,0,15,15.6,4,6,5.6,2,4,,6.00,7,4,,11.00,7,8,-5.00,-6.00,7,8,0.00,-1.00,11,5,355,2.1147,0.1668,1,completed,84303,
s1__t3__gpt_5_4_mini__m5v2rb,evolution,Line,Depth and layered transparency,gpt-5.4-mini,1,15,13,9,4,0,7,5,,12.00,8,6,,14.00,7,8,0.00,-1.00,7,8,1.00,0.00,11,2,1228,1.8911,0.0775,2,completed,104957,
s1__t3__gpt_5_4_mini__m5v2rb,evolution,Line,Depth and layered transparency,gpt-5.4-mini,2,15,9.6,8,0,1.5999999999999996,3,2,,5.00,4,3,,7.00,7,8,-4.00,-5.00,7,8,-3.00,-4.00,11,3,757,0.456,0.0217,3,completed,89820,
s1__t3__gpt_5_4_mini__m5v2rb,feedback_only,Line,Depth and layered transparency,gpt-5.4-mini,0,15,10,7,3,0,7,6,,13.00,7,6,,13.00,7,8,0.00,-1.00,7,8,0.00,-1.00,13,1,1803,0.8506,0.0605,2,completed,95245,
s1__t3__gpt_5_4_mini__m5v2rb,feedback_only,Line,Depth and layered transparency,gpt-5.4-mini,1,15,9,6,3,0,3,2,,5.00,4,3,,7.00,7,8,-4.00,-5.00,7,8,-3.00,-4.00,13,3,3936,0.8133,0.0224,1,completed,120522,
s1__t3__gpt_5_4_mini__m5v2rb,feedback_only,Line,Depth and layered transparency,gpt-5.4-mini,2,15,11,7,4,0,8,6,,14.00,8,6,,14.00,7,8,1.00,0.00,7,8,1.00,0.00,13,2,751,2.0506,0.1774,0,completed,81990,
s1__t3__gpt_5_4_mini__m5v2ri,evolution,Line,Depth and layered transparency,gpt-5.4-mini,0,15,19.4,5,8,6.4,4,3,,7.00,6,5,,11.00,7,8,-3.00,-4.00,7,8,-1.00,-2.00,9,2,220,1.7513,0.0794,4,completed,79488,
s1__t3__gpt_5_4_mini__m5v2ri,evolution,Line,Depth and layered transparency,gpt-5.4-mini,1,15,7.6,3,2,2.5999999999999996,2,2,,4.00,3,4,,7.00,7,8,-5.00,-6.00,7,8,-4.00,-5.00,10,2,568,0.9954,0.0188,3,completed,78160,
s1__t3__gpt_5_4_mini__m5v2ri,evolution,Line,Depth and layered transparency,gpt-5.4-mini,2,15,10.8,5,3,2.8,2,2,,4.00,6,4,,10.00,7,8,-5.00,-6.00,7,8,-1.00,-2.00,11,2,399,0.7261,0.0108,2,completed,79289,
s1__t3__gpt_5_4_mini__m5v2ri,feedback_only,Line,Depth and layered transparency,gpt-5.4-mini,0,15,13,7,6,0,7,5,,12.00,6,7,,13.00,7,8,0.00,-1.00,7,8,-1.00,-2.00,11,1,1384,1.4812,0.1214,1,completed,72785,
s1__t3__gpt_5_4_mini__m5v2ri,feedback_only,Line,Depth and layered transparency,gpt-5.4-mini,1,15,10,7,3,0,6,5,,11.00,7,6,,13.00,7,8,-1.00,-2.00,7,8,0.00,-1.00,13,2,1639,0.4059,0.0695,2,completed,86958,
s1__t3__gpt_5_4_mini__m5v2ri,feedback_only,Line,Depth and layered transparency,gpt-5.4-mini,2,15,12,7,5,0,6,5,,11.00,8,7,,15.00,7,8,-1.00,-2.00,7,8,1.00,0.00,11,2,1543,1.5299,0.1405,1,completed,72674,
s1__t4__gpt_5_4_mini__m5v2db,evolution,Line,Controlled chaos — structured randomness,gpt-5.4-mini,0,15,8,5,3,0,3,2,,5.00,7,4,,11.00,7,6,-4.00,-3.00,7,8,0.00,-1.00,10,3,1266,0.6646,0.0055,1,completed,91170,
s1__t4__gpt_5_4_mini__m5v2db,evolution,Line,Controlled chaos — structured randomness,gpt-5.4-mini,1,15,16.2,7,7,2.2,3,2,,5.00,6,5,,11.00,7,6,-4.00,-3.00,7,8,-1.00,-2.00,9,2,379,0.7019,0.0184,1,completed,65535,
s1__t4__gpt_5_4_mini__m5v2db,evolution,Line,Controlled chaos — structured randomness,gpt-5.4-mini,2,15,17.8,7,8,2.8,6,4,,10.00,7,6,,13.00,7,6,-1.00,0.00,7,8,0.00,-1.00,7,4,393,1.6085,0.0413,2,completed,60565,
s1__t4__gpt_5_4_mini__m5v2db,feedback_only,Line,Controlled chaos — structured randomness,gpt-5.4-mini,0,15,8,6,2,0,7,6,,13.00,8,6,,14.00,7,6,0.00,1.00,7,8,1.00,0.00,14,2,6012,0.5482,0.0136,3,completed,111879,
s1__t4__gpt_5_4_mini__m5v2db,feedback_only,Line,Controlled chaos — structured randomness,gpt-5.4-mini,1,15,15.2,7,5,3.2,7,6,,13.00,8,6,,14.00,7,6,0.00,1.00,7,8,1.00,0.00,12,2,327,1.9178,0.0767,2,completed,61600,
s1__t4__gpt_5_4_mini__m5v2db,feedback_only,Line,Controlled chaos — structured randomness,gpt-5.4-mini,2,15,13,7,6,0,7,6,,13.00,9,7,,16.00,7,6,0.00,1.00,7,8,2.00,1.00,14,3,1244,1.8742,0.1181,0,completed,70074,
s1__t4__gpt_5_4_mini__m5v2di,evolution,Line,Controlled chaos — structured randomness,gpt-5.4-mini,0,15,9,7,2,0,5,4,,9.00,8,6,,14.00,7,6,-2.00,-1.00,7,8,1.00,0.00,9,1,1129,0.8852,0.0116,2,completed,100526,
s1__t4__gpt_5_4_mini__m5v2di,evolution,Line,Controlled chaos — structured randomness,gpt-5.4-mini,1,15,11,7,4,0,3,2,,5.00,6,3,,9.00,7,6,-4.00,-3.00,7,8,-1.00,-2.00,11,1,696,0.662,0.0096,1,completed,78890,
s1__t4__gpt_5_4_mini__m5v2di,evolution,Line,Controlled chaos — structured randomness,gpt-5.4-mini,2,15,10,7,3,0,3,3,,6.00,7,5,,12.00,7,6,-4.00,-3.00,7,8,0.00,-1.00,11,2,1167,1.5449,0.0231,1,completed,92471,
s1__t4__gpt_5_4_mini__m5v2di,feedback_only,Line,Controlled chaos — structured randomness,gpt-5.4-mini,0,15,14,8,6,0,7,6,,13.00,8,6,,14.00,7,6,0.00,1.00,7,8,1.00,0.00,13,3,736,1.9707,0.1069,1,completed,64050,
s1__t4__gpt_5_4_mini__m5v2di,feedback_only,Line,Controlled chaos — structured randomness,gpt-5.4-mini,1,15,12,7,5,0,7,6,,13.00,7,6,,13.00,7,6,0.00,1.00,7,8,0.00,-1.00,11,2,2163,0.7425,0.0187,1,completed,92000,
s1__t4__gpt_5_4_mini__m5v2di,feedback_only,Line,Controlled chaos — structured randomness,gpt-5.4-mini,2,15,15,7,8,0,7,6,,13.00,8,6,,14.00,7,6,0.00,1.00,7,8,1.00,0.00,15,4,4596,0.5528,0.0465,2,completed,123094,
s1__t4__gpt_5_4_mini__m5v2rb,evolution,Line,Controlled chaos — structured randomness,gpt-5.4-mini,0,15,13,7,1,5,4,3,,7.00,8,5,,13.00,7,6,-3.00,-2.00,7,8,1.00,0.00,7,2,233,1.537,0.0625,2,completed,65863,
s1__t4__gpt_5_4_mini__m5v2rb,evolution,Line,Controlled chaos — structured randomness,gpt-5.4-mini,1,15,16.2,8,5,3.2,3,2,,5.00,7,5,,12.00,7,6,-4.00,-3.00,7,8,0.00,-1.00,5,3,299,1.5847,0.0338,2,completed,61744,
s1__t4__gpt_5_4_mini__m5v2rb,evolution,Line,Controlled chaos — structured randomness,gpt-5.4-mini,2,15,20.2,8,5,7.2,4,3,,7.00,7,6,,13.00,7,6,-3.00,-2.00,7,8,0.00,-1.00,5,2,159,1.6027,0.0407,2,completed,61138,
s1__t4__gpt_5_4_mini__m5v2rb,feedback_only,Line,Controlled chaos — structured randomness,gpt-5.4-mini,0,15,13,7,6,0,7,6,,13.00,8,6,,14.00,7,6,0.00,1.00,7,8,1.00,0.00,4,1,491,2.0115,0.1871,1,completed,66365,
s1__t4__gpt_5_4_mini__m5v2rb,feedback_only,Line,Controlled chaos — structured randomness,gpt-5.4-mini,1,15,12,7,5,0,6,7,,13.00,7,6,,13.00,7,6,-1.00,0.00,7,8,0.00,-1.00,11,2,1536,1.3625,0.0451,1,completed,77491,
s1__t4__gpt_5_4_mini__m5v2rb,feedback_only,Line,Controlled chaos — structured randomness,gpt-5.4-mini,2,15,9,6,3,0,5,6,,11.00,8,6,,14.00,7,6,-2.00,-1.00,7,8,1.00,0.00,11,2,623,0.8459,0.0251,1,completed,67399,
s1__t4__gpt_5_4_mini__m5v2ri,evolution,Line,Controlled chaos — structured randomness,gpt-5.4-mini,0,15,12.8,7,3,2.8,5,4,,9.00,7,5,,12.00,7,6,-2.00,-1.00,7,8,0.00,-1.00,6,1,216,1.7185,0.0661,3,completed,66844,
s1__t4__gpt_5_4_mini__m5v2ri,evolution,Line,Controlled chaos — structured randomness,gpt-5.4-mini,1,15,16.6,8,7,1.5999999999999996,3,2,,5.00,8,6,,14.00,7,6,-4.00,-3.00,7,8,1.00,0.00,11,2,286,1.3353,0.0343,3,completed,67534,
s1__t4__gpt_5_4_mini__m5v2ri,evolution,Line,Controlled chaos — structured randomness,gpt-5.4-mini,2,15,12,7,5,0,4,3,,7.00,7,4,,11.00,7,6,-3.00,-2.00,7,8,0.00,-1.00,7,2,311,1.1099,0.024,3,completed,62604,
s1__t4__gpt_5_4_mini__m5v2ri,feedback_only,Line,Controlled chaos — structured randomness,gpt-5.4-mini,0,15,13,8,5,0,7,6,,13.00,8,7,,15.00,7,6,0.00,1.00,7,8,1.00,0.00,6,2,469,2.194,0.1712,0,completed,57204,
s1__t4__gpt_5_4_mini__m5v2ri,feedback_only,Line,Controlled chaos — structured randomness,gpt-5.4-mini,1,15,12,7,5,0,6,5,,11.00,8,6,,14.00,7,6,-1.00,0.00,7,8,1.00,0.00,12,2,5262,0.9174,0.0296,1,completed,145125,
s1__t4__gpt_5_4_mini__m5v2ri,feedback_only,Line,Controlled chaos — structured randomness,gpt-5.4-mini,2,15,12,7,5,0,8,7,,15.00,8,7,,15.00,7,6,1.00,2.00,7,8,1.00,0.00,14,3,1534,1.2069,0.0437,0,completed,75994,
s1__t5__gpt_5_4_mini__m5v2db,evolution,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,0,15,12,7,5,0,4,5,,9.00,7,6,,13.00,4,7,0.00,-3.00,6,8,1.00,-1.00,5,2,611,1.0005,0.0679,3,completed,70245,
s1__t5__gpt_5_4_mini__m5v2db,evolution,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,1,15,13,7,6,0,4,5,,9.00,8,6,,14.00,4,7,0.00,-3.00,6,8,2.00,0.00,11,3,3017,2.0324,0.1815,2,completed,124326,
s1__t5__gpt_5_4_mini__m5v2db,evolution,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,2,15,15,8,7,0,4,5,,9.00,7,6,,13.00,4,7,0.00,-3.00,6,8,1.00,-1.00,10,2,1266,1.6855,0.135,3,completed,105205,
s1__t5__gpt_5_4_mini__m5v2db,feedback_only,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,0,15,9,4,5,0,3,4,,7.00,7,6,,13.00,4,7,-1.00,-4.00,6,8,1.00,-1.00,12,2,8152,0.6403,0.0423,2,completed,132491,
s1__t5__gpt_5_4_mini__m5v2db,feedback_only,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,1,15,10,4,6,0,3,4,,7.00,3,4,,7.00,4,7,-1.00,-4.00,6,8,-3.00,-5.00,11,2,4950,0.5585,0.0235,0,completed,145251,
s1__t5__gpt_5_4_mini__m5v2db,feedback_only,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,2,15,6,4,2,0,4,3,,7.00,6,4,,10.00,4,7,0.00,-3.00,6,8,0.00,-2.00,13,3,3458,1.4645,0.0838,1,completed,125139,
s1__t5__gpt_5_4_mini__m5v2di,evolution,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,0,15,3,2,1,0,2,3,,5.00,2,3,,5.00,4,7,-2.00,-5.00,6,8,-4.00,-6.00,11,2,3219,0.6724,0.0152,2,completed,178240,
s1__t5__gpt_5_4_mini__m5v2di,evolution,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,1,15,2,1,1,0,1,2,,3.00,3,4,,7.00,4,7,-3.00,-6.00,6,8,-3.00,-5.00,12,2,2094,0.7466,0.0041,2,completed,133216,
s1__t5__gpt_5_4_mini__m5v2di,evolution,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,2,15,10,5,5,0,4,3,,7.00,7,6,,13.00,4,7,0.00,-3.00,6,8,1.00,-1.00,12,2,1402,1.7485,0.155,2,completed,92888,
s1__t5__gpt_5_4_mini__m5v2di,feedback_only,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,0,15,2,1,1,0,1,1,,2.00,2,3,,5.00,4,7,-3.00,-6.00,6,8,-4.00,-6.00,12,2,4236,0.1763,0.0034,1,completed,102532,
s1__t5__gpt_5_4_mini__m5v2di,feedback_only,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,1,15,7,4,3,0,3,4,,7.00,8,6,,14.00,4,7,-1.00,-4.00,6,8,2.00,0.00,12,2,1089,1.344,0.0338,1,completed,73321,
s1__t5__gpt_5_4_mini__m5v2di,feedback_only,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,2,15,7,3,4,0,2,3,,5.00,6,4,,10.00,4,7,-2.00,-5.00,6,8,0.00,-2.00,13,3,3507,0.7957,0.0295,0,completed,93104,
s1__t5__gpt_5_4_mini__m5v2rb,evolution,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,0,15,17.8,8,7,2.8,7,6,,13.00,8,6,,14.00,4,7,3.00,0.00,6,8,2.00,0.00,7,2,250,2.1343,0.316,2,completed,64914,
s1__t5__gpt_5_4_mini__m5v2rb,evolution,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,1,15,15,8,7,0,6,7,,13.00,7,6,,13.00,4,7,2.00,-1.00,6,8,1.00,-1.00,8,2,736,2.2024,0.1732,4,completed,80096,
s1__t5__gpt_5_4_mini__m5v2rb,evolution,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,2,15,15.6,4,6,5.6,3,4,,7.00,6,5,,11.00,4,7,-1.00,-4.00,6,8,0.00,-2.00,5,2,133,1.3356,0.0697,1,completed,61226,
s1__t5__gpt_5_4_mini__m5v2rb,feedback_only,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,0,15,6,2,4,0,2,2,,4.00,6,4,,10.00,4,7,-2.00,-5.00,6,8,0.00,-2.00,12,2,2202,0.9518,0.0223,1,completed,82230,
s1__t5__gpt_5_4_mini__m5v2rb,feedback_only,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,1,15,5,3,2,0,2,2,,4.00,1,2,,3.00,4,7,-2.00,-5.00,6,8,-5.00,-7.00,15,3,5466,0.2498,0.0048,1,completed,137854,
s1__t5__gpt_5_4_mini__m5v2rb,feedback_only,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,2,15,10,6,4,0,7,5,,12.00,7,6,,13.00,4,7,3.00,0.00,6,8,1.00,-1.00,9,2,1691,1.7891,0.2363,1,completed,78249,
s1__t5__gpt_5_4_mini__m5v2ri,evolution,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,0,15,7,3,4,0,2,3,,5.00,3,2,,5.00,4,7,-2.00,-5.00,6,8,-3.00,-5.00,10,1,663,0.3761,0.0198,2,completed,74258,
s1__t5__gpt_5_4_mini__m5v2ri,evolution,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,1,15,11,4,5,2,3,4,,7.00,6,5,,11.00,4,7,-1.00,-4.00,6,8,0.00,-2.00,10,2,243,1.1671,0.0336,3,completed,63261,
s1__t5__gpt_5_4_mini__m5v2ri,evolution,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,2,15,11.4,5,0,6.4,5,3,,8.00,8,6,,14.00,4,7,1.00,-2.00,6,8,2.00,0.00,6,2,200,2.0917,0.1222,5,completed,78372,
s1__t5__gpt_5_4_mini__m5v2ri,feedback_only,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,0,15,7,3,4,0,3,4,,7.00,5,6,,11.00,4,7,-1.00,-4.00,6,8,-1.00,-3.00,12,2,2535,0.6657,0.0308,2,completed,81206,
s1__t5__gpt_5_4_mini__m5v2ri,feedback_only,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,1,15,5,4,1,0,3,2,,5.00,4,5,,9.00,4,7,-1.00,-4.00,6,8,-2.00,-4.00,11,3,2944,0.5802,0.0261,0,completed,93676,
s1__t5__gpt_5_4_mini__m5v2ri,feedback_only,Line,The dense interlocking pattern of a woven textile,gpt-5.4-mini,2,15,9,7,2,0,8,7,,15.00,8,6,,14.00,4,7,4.00,1.00,6,8,2.00,0.00,12,2,2346,1.4284,0.1865,1,completed,107325,
s1__t6__gpt_5_4_mini__m5v2db,evolution,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,0,15,13,7,3,3,4,3,,7.00,6,4,,10.00,7,6,-3.00,-2.00,7,8,-1.00,-2.00,4,1,212,0.9519,0.0136,2,completed,83177,
s1__t6__gpt_5_4_mini__m5v2db,evolution,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,1,15,22.6,8,6,8.6,2,2,,4.00,4,3,,7.00,7,6,-5.00,-4.00,7,8,-3.00,-4.00,4,1,48,0.7931,0.016,1,completed,69026,
s1__t6__gpt_5_4_mini__m5v2db,evolution,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,2,15,20.4,8,5,7.4,4,5,,9.00,6,4,,10.00,7,6,-3.00,-2.00,7,8,-1.00,-2.00,7,1,98,0.6235,0.0098,0,completed,63868,
s1__t6__gpt_5_4_mini__m5v2db,feedback_only,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,0,15,9,6,3,0,5,4,,9.00,7,6,,13.00,7,6,-2.00,-1.00,7,8,0.00,-1.00,11,1,488,0.8813,0.0184,1,completed,61641,
s1__t6__gpt_5_4_mini__m5v2db,feedback_only,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,1,15,12.6,7,5,0.5999999999999996,7,6,,13.00,8,6,,14.00,7,6,0.00,1.00,7,8,1.00,0.00,13,1,374,1.5395,0.0673,0,completed,58789,
s1__t6__gpt_5_4_mini__m5v2db,feedback_only,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,2,15,13,6,4,3,5,3,,8.00,7,4,,11.00,7,6,-2.00,-1.00,7,8,0.00,-1.00,12,1,260,0.8314,0.024,1,completed,59022,
s1__t6__gpt_5_4_mini__m5v2di,evolution,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,0,15,14,8,6,0,5,6,,11.00,7,5,,12.00,7,6,-2.00,-1.00,7,8,0.00,-1.00,8,1,544,0.9832,0.0154,1,completed,78980,
s1__t6__gpt_5_4_mini__m5v2di,evolution,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,1,15,11,8,3,0,6,5,,11.00,7,4,,11.00,7,6,-1.00,0.00,7,8,0.00,-1.00,10,0,382,1.2721,0.044,3,completed,80206,
s1__t6__gpt_5_4_mini__m5v2di,evolution,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,2,15,7.800000000000001,7,0,0.8000000000000007,4,5,,9.00,7,5,,12.00,7,6,-3.00,-2.00,7,8,0.00,-1.00,10,0,289,0.9338,0.0342,2,completed,73574,
s1__t6__gpt_5_4_mini__m5v2di,feedback_only,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,0,15,8,6,2,0,5,3,,8.00,7,6,,13.00,7,6,-2.00,-1.00,7,8,0.00,-1.00,12,1,374,1.2264,0.0383,1,completed,54707,
s1__t6__gpt_5_4_mini__m5v2di,feedback_only,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,1,15,9,6,3,0,5,4,,9.00,7,6,,13.00,7,6,-2.00,-1.00,7,8,0.00,-1.00,9,1,614,1.193,0.0246,1,completed,60126,
s1__t6__gpt_5_4_mini__m5v2di,feedback_only,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,2,15,13.6,7,4,2.5999999999999996,4,3,,7.00,6,5,,11.00,7,6,-3.00,-2.00,7,8,-1.00,-2.00,11,1,293,0.9657,0.0367,1,completed,62707,
s1__t6__gpt_5_4_mini__m5v2rb,evolution,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,0,15,18,8,3,7,4,3,,7.00,4,3,,7.00,7,6,-3.00,-2.00,7,8,-3.00,-4.00,8,1,116,0.7991,0.0087,4,completed,81586,
s1__t6__gpt_5_4_mini__m5v2rb,evolution,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,1,15,15.4,8,2,5.4,4,5,,9.00,6,4,,10.00,7,6,-3.00,-2.00,7,8,-1.00,-2.00,11,1,200,0.5093,0.0144,5,completed,75402,
s1__t6__gpt_5_4_mini__m5v2rb,evolution,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,2,15,21.8,8,5,8.8,6,5,,11.00,7,3,,10.00,7,6,-1.00,0.00,7,8,0.00,-1.00,5,1,41,1.2573,0.0175,3,completed,74452,
s1__t6__gpt_5_4_mini__m5v2rb,feedback_only,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,0,15,13,7,6,0,7,6,,13.00,7,6,,13.00,7,6,0.00,1.00,7,8,0.00,-1.00,10,2,740,1.4769,0.0458,2,completed,65801,
s1__t6__gpt_5_4_mini__m5v2rb,feedback_only,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,1,15,11,7,4,0,7,5,,12.00,7,6,,13.00,7,6,0.00,1.00,7,8,0.00,-1.00,11,1,657,1.6741,0.1497,1,completed,62342,
s1__t6__gpt_5_4_mini__m5v2rb,feedback_only,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,2,15,14,8,6,0,7,5,,12.00,8,6,,14.00,7,6,0.00,1.00,7,8,1.00,0.00,14,2,549,1.9749,0.1898,1,completed,58987,
s1__t6__gpt_5_4_mini__m5v2ri,evolution,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,0,15,19.2,8,6,5.2,4,3,,7.00,6,3,,9.00,7,6,-3.00,-2.00,7,8,-1.00,-2.00,9,0,159,0.7334,0.0262,4,completed,67513,
s1__t6__gpt_5_4_mini__m5v2ri,evolution,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,1,15,15,8,3,4,6,3,,9.00,6,4,,10.00,7,6,-1.00,0.00,7,8,-1.00,-2.00,10,1,206,0.6438,0.0071,2,completed,68308,
s1__t6__gpt_5_4_mini__m5v2ri,evolution,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,2,15,15,8,5,2,4,3,,7.00,6,4,,10.00,7,6,-3.00,-2.00,7,8,-1.00,-2.00,10,0,275,0.8414,0.0219,4,completed,76221,
