condition_id,run_type,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,final_parsimony,cross_model_score,cross_model_judge,best_baseline_a_xm,best_baseline_b_xm,score_vs_baseline_a,score_vs_baseline_b,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,score_drop_warnings,status,elapsed_ms,error
s2__t2__gemini_3_flash_preview,evolution,Star,Organic and flowing — curves and spirals that suggest natural growth,gemini-3-flash-preview,0,15,21,8,7,6,,gemini-3-flash-preview,2,3,,,11,2,416,2.0814,0.1068,3,completed,384257,
s2__t2__gemini_3_flash_preview,evolution,Star,Organic and flowing — curves and spirals that suggest natural growth,gemini-3-flash-preview,1,15,15.6,4,5,6.6,2,gemini-3-flash-preview,2,3,0.00,-1.00,12,1,308,0.4556,0.004,6,completed,412450,
s2__t2__gemini_3_flash_preview,evolution,Star,Organic and flowing — curves and spirals that suggest natural growth,gemini-3-flash-preview,2,15,23,8,8,7,,gemini-3-flash-preview,2,3,,,10,2,334,1.8875,0.2337,2,completed,372702,
s2__t2__gemini_3_flash_preview,feedback_only,Star,Organic and flowing — curves and spirals that suggest natural growth,gemini-3-flash-preview,0,15,20.2,6,9,5.2,,gemini-3-flash-preview,2,3,,,12,2,488,1.7264,0.3192,3,completed,315557,
s2__t2__gemini_3_flash_preview,feedback_only,Star,Organic and flowing — curves and spirals that suggest natural growth,gemini-3-flash-preview,1,15,8.8,1,1,6.8,1,gemini-3-flash-preview,2,3,-1.00,-2.00,12,2,424,0.1161,0,6,completed,303983,
s2__t2__gemini_3_flash_preview,feedback_only,Star,Organic and flowing — curves and spirals that suggest natural growth,gemini-3-flash-preview,2,15,17.6,6,7,4.6,,gemini-3-flash-preview,2,3,,,14,1,414,2.0346,0.2423,4,completed,364808,
s2__t2__gpt_5_4_mini,evolution,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,5,5,0,0,,gemini-3-flash-preview,1,4,,,6,1,347,0.5836,0.0076,2,completed,75769,
s2__t2__gpt_5_4_mini,evolution,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,8,7,1,0,7,gemini-3-flash-preview,1,4,6.00,3.00,10,1,1163,0.8885,0.0137,1,completed,90442,
s2__t2__gpt_5_4_mini,evolution,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,11,7,4,0,,gemini-3-flash-preview,1,4,,,8,1,411,1.2968,0.024,3,completed,81722,
s2__t2__gpt_5_4_mini,feedback_only,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,10,6,4,0,,gemini-3-flash-preview,1,4,,,10,2,1187,0.5896,0.0163,0,completed,63545,
s2__t2__gpt_5_4_mini,feedback_only,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,10,7,3,0,,gemini-3-flash-preview,1,4,,,7,1,732,2.1605,0.132,1,completed,60526,
s2__t2__gpt_5_4_mini,feedback_only,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,2,1,1,0,1,gemini-3-flash-preview,1,4,0.00,-3.00,12,1,1553,0,0,0,completed,55827,
s2__t3__gemini_3_flash_preview,evolution,Star,Intricate asymmetric patterns with heavy use of color,gemini-3-flash-preview,0,15,22,8,7,7,1,gemini-3-flash-preview,1,3,0.00,-2.00,9,3,321,0,0,2,completed,342943,
s2__t3__gemini_3_flash_preview,evolution,Star,Intricate asymmetric patterns with heavy use of color,gemini-3-flash-preview,1,15,19.6,7,7,5.6,2,gemini-3-flash-preview,1,3,1.00,-1.00,11,2,467,0.1945,0.0046,1,completed,345203,
s2__t3__gemini_3_flash_preview,evolution,Star,Intricate asymmetric patterns with heavy use of color,gemini-3-flash-preview,2,15,23.2,9,8,6.2,,gemini-3-flash-preview,1,3,,,12,1,383,1.5923,0.2339,0,completed,387530,
s2__t3__gemini_3_flash_preview,feedback_only,Star,Intricate asymmetric patterns with heavy use of color,gemini-3-flash-preview,0,15,9.2,1,1,7.2,1,gemini-3-flash-preview,1,3,0.00,-2.00,9,2,413,0,0,2,completed,218728,
s2__t3__gemini_3_flash_preview,feedback_only,Star,Intricate asymmetric patterns with heavy use of color,gemini-3-flash-preview,1,15,8.4,1,1,6.4,1,gemini-3-flash-preview,1,3,0.00,-2.00,8,3,420,0,0,1,completed,287438,
s2__t3__gemini_3_flash_preview,feedback_only,Star,Intricate asymmetric patterns with heavy use of color,gemini-3-flash-preview,2,15,8.4,1,1,6.4,1,gemini-3-flash-preview,1,3,0.00,-2.00,11,3,287,0,0,2,completed,315678,
s2__t3__gpt_5_4_mini,evolution,Star,Intricate asymmetric patterns with heavy use of color,gpt-5.4-mini,0,15,5,1,0,4,1,gemini-3-flash-preview,1,6,0.00,-5.00,9,1,272,0,0,2,completed,70105,
s2__t3__gpt_5_4_mini,evolution,Star,Intricate asymmetric patterns with heavy use of color,gpt-5.4-mini,1,15,9,5,4,0,,gemini-3-flash-preview,1,6,,,11,3,2221,0.7267,0.009,4,completed,110284,
s2__t3__gpt_5_4_mini,evolution,Star,Intricate asymmetric patterns with heavy use of color,gpt-5.4-mini,2,15,12,9,3,0,,gemini-3-flash-preview,1,6,,,11,2,3477,0.6661,0.0853,0,completed,117331,
s2__t3__gpt_5_4_mini,feedback_only,Star,Intricate asymmetric patterns with heavy use of color,gpt-5.4-mini,0,15,2,1,1,0,1,gemini-3-flash-preview,1,6,0.00,-5.00,14,2,3855,0,0,1,completed,109948,
s2__t3__gpt_5_4_mini,feedback_only,Star,Intricate asymmetric patterns with heavy use of color,gpt-5.4-mini,1,15,2,1,1,0,1,gemini-3-flash-preview,1,6,0.00,-5.00,12,2,1547,0,0,1,completed,81541,
s2__t3__gpt_5_4_mini,feedback_only,Star,Intricate asymmetric patterns with heavy use of color,gpt-5.4-mini,2,15,3,1,2,0,1,gemini-3-flash-preview,1,6,0.00,-5.00,11,3,1771,0.0369,0.0001,0,completed,68740,
