condition_id,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,cross_model_score,cross_model_judge,best_baseline_a_xm,best_baseline_b_xm,score_vs_baseline_a,score_vs_baseline_b,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,status,elapsed_ms,error
s1__t2__gpt_5_4_mini__m5v4rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,4.078138275199999,8,6,4,gemini-3-flash-preview,,,,,4,0,99,2.3432,0.1619,completed,73491,
s1__t2__gpt_5_4_mini__m5v4rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,6.051599999999999,7,4,,gemini-3-flash-preview,,,,,4,0,166,0.9873,0.0158,completed,80133,
s1__t2__gpt_5_4_mini__m5v4rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,7,6,2,,gemini-3-flash-preview,,,,,4,0,238,0.6253,0.0077,completed,48038,
s1__t2__gpt_5_4_mini__m5v4rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,7,5,4,,gemini-3-flash-preview,,,,,4,0,88,2.2843,0.1507,completed,47169,
s1__t2__gpt_5_4_mini__m5v4rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,7.5,7,1,,gemini-3-flash-preview,,,,,5,0,170,1.1284,0.0109,completed,45825,
s2__t1__gpt_5_4_mini__m5v2rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,4.973339359999999,9,4,,gemini-3-flash-preview,,,,,9,0,293,1.8366,0.1796,completed,69985,
s2__t1__gpt_5_4_mini__m5v2rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,10,8,4,,gemini-3-flash-preview,,,,,3,0,138,1.7072,0.1162,completed,59410,
s2__t1__gpt_5_4_mini__m5v2rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,6.340731999999998,8,7,,gemini-3-flash-preview,,,,,4,0,66,2.2562,0.0976,completed,55330,
s2__t1__gpt_5_4_mini__m5v2rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,10,8,4,,gemini-3-flash-preview,,,,,4,0,369,0.6154,0.016,completed,51513,
s2__t1__gpt_5_4_mini__m5v2rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,8,8,0,,gemini-3-flash-preview,,,,,6,1,112,2.3462,0.1697,completed,46293,
s2__t1__gpt_5_4_mini__m5v2rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,9,8,2,,gemini-3-flash-preview,,,,,8,0,111,2.1473,0.1416,completed,47054,
s2__t1__gpt_5_4_mini__m5v4rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,9.02,8,6,,gemini-3-flash-preview,,,,,7,0,137,2.3269,0.2016,completed,77042,
s2__t1__gpt_5_4_mini__m5v4rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,8,8,0,,gemini-3-flash-preview,,,,,3,0,48,2.3154,0.1182,completed,74011,
s2__t1__gpt_5_4_mini__m5v4rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,7.060199999999999,8,5,,gemini-3-flash-preview,,,,,2,0,101,1.6303,0.0898,completed,97241,
s2__t1__gpt_5_4_mini__m5v4rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,9.5,7,5,,gemini-3-flash-preview,,,,,3,0,48,1.7287,0.0647,completed,54472,
s2__t1__gpt_5_4_mini__m5v4rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,9,8,2,,gemini-3-flash-preview,,,,,4,0,392,1.7863,0.1793,completed,52463,
s2__t1__gpt_5_4_mini__m5v4rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,8.5,8,1,,gemini-3-flash-preview,,,,,2,0,244,1.6649,0.0904,completed,50808,
s2__t2__gpt_5_4_mini__m5v2rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,7.396399999999999,8,6,,gemini-3-flash-preview,,,,,5,0,77,1.5244,0.0276,completed,62724,
s2__t2__gpt_5_4_mini__m5v2rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,6,6,0,,gemini-3-flash-preview,,,,,3,0,118,0.9108,0.0319,completed,81413,
s2__t2__gpt_5_4_mini__m5v2rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,10,8,4,,gemini-3-flash-preview,,,,,4,0,32,1.2519,0.0179,completed,55967,
s2__t2__gpt_5_4_mini__m5v2rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,8,8,0,,gemini-3-flash-preview,,,,,10,0,283,1.3114,0.0332,completed,51193,
s2__t2__gpt_5_4_mini__m5v2rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,9.5,7,5,,gemini-3-flash-preview,,,,,8,0,171,0.8129,0.0101,completed,44573,
s2__t2__gpt_5_4_mini__m5v2rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,8,7,2,,gemini-3-flash-preview,,,,,4,0,312,1.2229,0.0235,completed,48917,
s2__t2__gpt_5_4_mini__m5v4rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,7.5,7,1,4,gemini-3-flash-preview,,,,,4,0,163,1.4456,0.0292,completed,78153,
s2__t2__gpt_5_4_mini__m5v4rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,5.739999999999999,4,6,,gemini-3-flash-preview,,,,,3,0,101,0.4311,0.0047,completed,67761,
s2__t2__gpt_5_4_mini__m5v4rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,8.5,6,5,2,gemini-3-flash-preview,,,,,4,0,33,1.379,0.0246,completed,64962,
s2__t2__gpt_5_4_mini__m5v4rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,9,7,4,,gemini-3-flash-preview,,,,,6,0,189,1.3362,0.0264,completed,48859,
s2__t2__gpt_5_4_mini__m5v4rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,8.5,8,1,,gemini-3-flash-preview,,,,,2,0,222,1.0592,0.0127,completed,46631,
s2__t2__gpt_5_4_mini__m5v4rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,9,8,2,,gemini-3-flash-preview,,,,,5,0,444,2.5562,0.3691,completed,52320,
