condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_2_5_flash_aesthetic,xm_gemini_2_5_flash_novelty,xm_gpt_5_4_mini_aesthetic,xm_gpt_5_4_mini_novelty
t3__gpt_5_4_nano,single_edit,gpt-5.4-nano,The dense interlocking pattern of a woven textile,Line,7,12,1,836,0,1.2752,0.0224,0.9957,0.7391,4179,6,3,4,3
t3__gpt_5_4_nano,single_edit,gpt-5.4-nano,The dense interlocking pattern of a woven textile,Line,8,12,2,394,1,1.2577,0.0566,0.965,0.5945,2135,6,5,5,4
t3__gpt_5_4_nano,single_edit,gpt-5.4-nano,The dense interlocking pattern of a woven textile,Line,9,12,2,983,0,0.6147,0.0044,0.9966,0.0112,4167,2,1,2,2
t4__gpt_5_4_nano,single_edit,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",Line,0,10,3,1522,0,0.6023,0.0077,0.9947,0.6353,4574,4,2,4,3
t4__gpt_5_4_nano,single_edit,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",Line,1,13,4,1891,0,1.0735,0.0166,0.9971,0.7744,6295,6,2,4,2
t4__gpt_5_4_nano,single_edit,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",Line,2,15,4,4545,0,0,0,1,0,12121,1,1,1,1
t4__gpt_5_4_nano,single_edit,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",Line,3,10,3,982,0,0,0,1,0,3460,3,1,2,1
t4__gpt_5_4_nano,single_edit,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",Line,4,13,3,1885,0,1.0426,0.0699,0.9711,0.6331,7571,8,9,6,7
t4__gpt_5_4_nano,single_edit,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",Line,5,14,3,3253,0,0.4677,0.0046,0.9962,0.1781,8044,4,2,3,2
t4__gpt_5_4_nano,single_edit,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",Line,6,13,3,1928,0,0.8076,0.0265,0.9991,0.7744,6401,6,1,3,2
t4__gpt_5_4_nano,single_edit,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",Line,7,12,2,831,0,0.3546,0.0077,0.9932,0.5163,3180,2,1,3,2
t4__gpt_5_4_nano,single_edit,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",Line,8,11,2,596,0,2.0332,0.2462,0.8942,0.5128,2774,8,7,7,8
t4__gpt_5_4_nano,single_edit,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",Line,9,14,2,1351,0,0.9736,0.0707,0.9483,0.7562,5071,7,6,7,8
