condition_id,run_type,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,final_parsimony,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gemini_3_flash_preview_parsimony,xm_gemini_3_flash_preview_total,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty,xm_gpt_5_4_nano_parsimony,xm_gpt_5_4_nano_total,best_baseline_a_xm_gemini_3_flash_preview,best_baseline_b_xm_gemini_3_flash_preview,score_vs_baseline_a_gemini_3_flash_preview,score_vs_baseline_b_gemini_3_flash_preview,best_baseline_a_xm_gpt_5_4_nano,best_baseline_b_xm_gpt_5_4_nano,score_vs_baseline_a_gpt_5_4_nano,score_vs_baseline_b_gpt_5_4_nano,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,score_drop_warnings,status,elapsed_ms,error
s1__t3__gpt_5_4_mini__m5v2rb,evolution,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,2,15,8.8,1,2,7.8,1,1,,1.00,1,1,,1.00,2,7,-1.00,-6.00,3,7,-2.00,-6.00,9,2,220,0.5575,0.01,0,completed,72384,
s1__t3__gpt_5_4_mini__m5v2rb,evolution,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,3,15,7.4,1,2,6.4,1,1,,1.00,1,1,,1.00,2,7,-1.00,-6.00,3,7,-2.00,-6.00,11,2,203,0,0,1,completed,68239,
s1__t3__gpt_5_4_mini__m5v2rb,evolution,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,4,15,13.8,6,5,7.8,4,3,,4.00,4,3,,4.00,2,7,2.00,-3.00,3,7,1.00,-3.00,10,1,390,0.5815,0.0231,2,completed,76508,
s1__t3__gpt_5_4_mini__m5v2rb,feedback_only,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,0,15,10.4,4,3,6.4,1,1,,1.00,1,1,,1.00,2,7,-1.00,-6.00,3,7,-2.00,-6.00,12,3,228,1.056,0.0139,0,completed,55289,
s1__t3__gpt_5_4_mini__m5v2rb,feedback_only,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,1,15,8.8,2,3,6.8,1,1,,1.00,1,1,,1.00,2,7,-1.00,-6.00,3,7,-2.00,-6.00,12,3,352,0.5288,0.0055,0,completed,54268,
s1__t3__gpt_5_4_mini__m5v2rb,feedback_only,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,2,15,6.6,1,2,5.6,1,1,,1.00,2,1,,2.00,2,7,-1.00,-6.00,3,7,-1.00,-5.00,12,2,256,0.306,0.0066,0,completed,53764,
s1__t3__gpt_5_4_mini__m5v2rb,feedback_only,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,3,15,6.8,2,3,4.8,1,1,,1.00,2,3,,2.00,2,7,-1.00,-6.00,3,7,-1.00,-5.00,11,2,378,0.4218,0.0041,0,completed,53969,
s1__t3__gpt_5_4_mini__m5v2rb,feedback_only,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,4,15,7.4,1,2,6.4,1,1,,1.00,1,1,,1.00,2,7,-1.00,-6.00,3,7,-2.00,-6.00,11,2,311,0.3532,0.0037,0,completed,54505,
s1__t3__gpt_5_4_mini__m7v2rb,evolution,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,0,15,8,2,5,6,1,1,,1.00,1,1,,1.00,2,7,-1.00,-6.00,3,7,-2.00,-6.00,13,2,355,0.3383,0.0044,0,completed,70649,
s1__t3__gpt_5_4_mini__m7v2rb,evolution,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,1,15,9,2,2,7,1,1,,1.00,1,1,,1.00,2,7,-1.00,-6.00,3,7,-2.00,-6.00,10,2,233,0.498,0.0089,0,completed,85692,
s1__t3__gpt_5_4_mini__m7v2rb,evolution,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,2,15,9,2,0,7,1,1,,1.00,2,1,,2.00,2,7,-1.00,-6.00,3,7,-1.00,-5.00,11,3,228,0.3113,0.004,0,completed,73699,
s1__t3__gpt_5_4_mini__m7v2rb,evolution,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,3,15,8.6,2,0,6.6,1,1,,1.00,1,1,,1.00,2,7,-1.00,-6.00,3,7,-2.00,-6.00,11,2,242,0,0,0,completed,68053,
s1__t3__gpt_5_4_mini__m7v2rb,evolution,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,4,15,8.4,3,7,5.4,1,1,,1.00,3,2,,3.00,2,7,-1.00,-6.00,3,7,0.00,-4.00,12,2,280,0.6424,0.0063,0,completed,66652,
s1__t3__gpt_5_4_mini__m7v2rb,feedback_only,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,0,15,7.2,1,2,6.2,1,1,,1.00,2,1,,2.00,2,7,-1.00,-6.00,3,7,-1.00,-5.00,13,3,349,0.5282,0.0062,0,completed,55980,
s1__t3__gpt_5_4_mini__m7v2rb,feedback_only,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,1,15,7,1,1,6,1,1,,1.00,1,1,,1.00,2,7,-1.00,-6.00,3,7,-2.00,-6.00,13,4,511,0.2572,0.0092,0,completed,55471,
s1__t3__gpt_5_4_mini__m7v2rb,feedback_only,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,2,15,7.2,1,1,6.2,1,1,,1.00,2,1,,2.00,2,7,-1.00,-6.00,3,7,-1.00,-5.00,12,3,361,0.498,0.0089,0,completed,72058,
s1__t3__gpt_5_4_mini__m7v2rb,feedback_only,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,3,15,7.6,1,1,6.6,1,1,,1.00,1,2,,1.00,2,7,-1.00,-6.00,3,7,-2.00,-6.00,11,3,328,0,0,0,completed,54788,
s1__t3__gpt_5_4_mini__m7v2rb,feedback_only,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,4,15,7.6,1,1,6.6,1,1,,1.00,1,1,,1.00,2,7,-1.00,-6.00,3,7,-2.00,-6.00,12,2,540,0.2572,0.0092,0,completed,66746,
s1__t4__gpt_5_4_mini__m3v2rb,evolution,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,0,15,11.4,2,3,9.4,1,1,,1.00,2,2,,2.00,4,5,-3.00,-4.00,5,7,-3.00,-5.00,3,1,30,0.4993,0.0078,0,completed,56390,
s1__t4__gpt_5_4_mini__m3v2rb,evolution,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,1,15,9.6,2,2,7.6,1,1,,1.00,2,1,,2.00,4,5,-3.00,-4.00,5,7,-3.00,-5.00,5,0,119,0.5186,0.0058,0,completed,52614,
s1__t4__gpt_5_4_mini__m3v2rb,evolution,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,2,15,13,4,3,9,1,1,,1.00,2,1,,2.00,4,5,-3.00,-4.00,5,7,-3.00,-5.00,5,1,55,0.7101,0.0109,0,completed,64714,
s1__t4__gpt_5_4_mini__m3v2rb,evolution,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,3,15,11.2,2,2,9.2,1,1,,1.00,2,1,,2.00,4,5,-3.00,-4.00,5,7,-3.00,-5.00,4,0,39,0.4036,0.0093,0,completed,51951,
s1__t4__gpt_5_4_mini__m3v2rb,evolution,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,4,15,10.6,2,0,8.6,1,1,,1.00,2,2,,2.00,4,5,-3.00,-4.00,5,7,-3.00,-5.00,5,1,62,0.4192,0.0059,0,completed,53608,
s1__t4__gpt_5_4_mini__m3v2rb,feedback_only,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,0,15,4,4,2,0,2,2,,2.00,4,3,,4.00,4,5,-2.00,-3.00,5,7,-1.00,-3.00,11,2,1233,1.6904,0.0419,0,completed,67861,
s1__t4__gpt_5_4_mini__m3v2rb,feedback_only,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,1,15,5,5,3,0,3,3,,3.00,7,5,,7.00,4,5,-1.00,-2.00,5,7,2.00,0.00,7,1,574,1.2832,0.0263,0,completed,75874,
s1__t4__gpt_5_4_mini__m3v2rb,feedback_only,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,2,15,8,8,6,0,5,4,,5.00,8,6,,8.00,4,5,1.00,0.00,5,7,3.00,1.00,10,1,386,2.1883,0.2307,0,completed,63733,
s1__t4__gpt_5_4_mini__m3v2rb,feedback_only,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,3,15,8.2,2,1,6.2,1,1,,1.00,1,1,,1.00,4,5,-3.00,-4.00,5,7,-4.00,-6.00,11,2,180,0.7407,0.0076,1,completed,52070,
s1__t4__gpt_5_4_mini__m3v2rb,feedback_only,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,4,15,6.2,2,1,4.2,1,1,,1.00,2,2,,2.00,4,5,-3.00,-4.00,5,7,-3.00,-5.00,10,2,383,1.0806,0.01,0,completed,60645,
s1__t4__gpt_5_4_mini__m5v2rb,evolution,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,0,15,8.4,2,0,6.4,2,3,,2.00,6,5,,6.00,4,5,-2.00,-3.00,5,7,1.00,-1.00,9,3,253,1.9738,0.2048,2,completed,62034,
s1__t4__gpt_5_4_mini__m5v2rb,evolution,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,1,15,8.8,3,6,5.8,1,2,,1.00,2,2,,2.00,4,5,-3.00,-4.00,5,7,-3.00,-5.00,7,2,263,0.8266,0.0163,0,completed,70112,
s1__t4__gpt_5_4_mini__m5v2rb,evolution,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,2,15,5.4,1,3,4.4,1,1,,1.00,2,1,,2.00,4,5,-3.00,-4.00,5,7,-3.00,-5.00,12,2,272,1.3961,0.0604,0,completed,68179,
s1__t4__gpt_5_4_mini__m5v2rb,evolution,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,3,15,11.6,3,0,8.6,1,1,,1.00,2,1,,2.00,4,5,-3.00,-4.00,5,7,-3.00,-5.00,6,1,64,0.4036,0.0057,2,completed,64847,
s1__t4__gpt_5_4_mini__m5v2rb,evolution,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,4,15,8.2,1,0,7.2,1,1,,1.00,1,1,,1.00,4,5,-3.00,-4.00,5,7,-4.00,-6.00,11,2,286,0,0,0,completed,64590,
s1__t4__gpt_5_4_mini__m5v2rb,feedback_only,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,0,15,8.8,3,2,5.8,1,2,,1.00,2,3,,2.00,4,5,-3.00,-4.00,5,7,-3.00,-5.00,11,2,1248,1.5433,0.0391,0,completed,72138,
s1__t4__gpt_5_4_mini__m5v2rb,feedback_only,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,1,15,3,3,4,0,1,2,,1.00,6,4,,6.00,4,5,-3.00,-4.00,5,7,1.00,-1.00,12,2,2915,2.2389,0.3242,0,completed,134191,
s1__t4__gpt_5_4_mini__m5v2rb,feedback_only,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,2,15,8,8,7,0,7,6,,7.00,8,6,,8.00,4,5,3.00,2.00,5,7,3.00,1.00,12,2,1147,2.5066,0.4834,0,completed,109204,
s1__t4__gpt_5_4_mini__m5v2rb,feedback_only,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,3,15,7.8,1,1,6.8,1,1,,1.00,1,1,,1.00,4,5,-3.00,-4.00,5,7,-4.00,-6.00,12,3,266,0.2572,0.0092,1,completed,77720,
s1__t4__gpt_5_4_mini__m5v2rb,feedback_only,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,4,15,8,8,5,0,6,5,,6.00,8,6,,8.00,4,5,2.00,1.00,5,7,3.00,1.00,10,1,7292,1.3704,0.0812,0,completed,160910,
s1__t4__gpt_5_4_mini__m7v2rb,evolution,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,0,15,8,1,1,7,1,1,,1.00,1,1,,1.00,4,5,-3.00,-4.00,5,7,-4.00,-6.00,9,1,362,0.498,0.0044,0,completed,81719,
s1__t4__gpt_5_4_mini__m7v2rb,evolution,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,1,15,7.6,1,3,6.6,2,3,,2.00,6,4,,6.00,4,5,-2.00,-3.00,5,7,1.00,-1.00,12,2,1101,1.9154,0.1123,2,completed,134042,
s1__t4__gpt_5_4_mini__m7v2rb,evolution,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,2,15,11.4,4,6,7.4,2,3,,2.00,2,3,,2.00,4,5,-2.00,-3.00,5,7,-3.00,-5.00,10,2,199,1.2482,0.0273,2,completed,145063,
s1__t4__gpt_5_4_mini__m7v2rb,evolution,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,3,15,13.8,8,6,5.8,6,5,,6.00,8,5,,8.00,4,5,2.00,1.00,5,7,3.00,1.00,11,2,1024,0.9274,0.0683,0,completed,132262,
s1__t4__gpt_5_4_mini__m7v2rb,evolution,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,4,15,7.2,1,7,6.2,1,1,,1.00,1,1,,1.00,4,5,-3.00,-4.00,5,7,-4.00,-6.00,14,4,402,0,0,0,completed,82247,
s1__t4__gpt_5_4_mini__m7v2rb,feedback_only,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,0,15,1,1,1,0,1,1,,1.00,2,1,,2.00,4,5,-3.00,-4.00,5,7,-3.00,-5.00,13,2,1445,0.7138,0.018,0,completed,78096,
s1__t4__gpt_5_4_mini__m7v2rb,feedback_only,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,1,15,10,3,4,7,1,1,,1.00,2,2,,2.00,4,5,-3.00,-4.00,5,7,-3.00,-5.00,12,2,854,0.7291,0.0728,0,completed,87093,
s1__t4__gpt_5_4_mini__m7v2rb,feedback_only,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,2,15,5,5,6,0,1,2,,1.00,4,3,,4.00,4,5,-3.00,-4.00,5,7,-1.00,-3.00,11,2,2025,1.9988,0.1168,0,completed,103103,
s1__t4__gpt_5_4_mini__m7v2rb,feedback_only,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,3,15,3,3,2,0,2,2,,2.00,3,2,,3.00,4,5,-2.00,-3.00,5,7,-2.00,-4.00,12,3,1665,1.3739,0.0223,0,completed,106490,
s1__t4__gpt_5_4_mini__m7v2rb,feedback_only,Line,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,gpt-5.4-mini,4,15,4,4,3,0,2,3,,2.00,7,4,,7.00,4,5,-2.00,-3.00,5,7,2.00,0.00,14,2,2742,1.5518,0.079,0,completed,115077,
