condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gpt_5_4_mini_aesthetic,xm_gpt_5_4_mini_novelty
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,5,12,2,874,0,0,0,1,0.7597,3932,1,1,1,1
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,6,12,2,849,0,2.0343,0.5788,0.9937,0.7744,5942,,,8,8
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,7,14,2,1607,0,0.3943,0.0055,0.9978,0.6972,6589,2,1,2,1
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,8,14,2,1224,0,0,0,1,0.5341,4325,1,1,1,1
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,9,12,2,910,0,0.0737,0.0237,0.9919,0.7674,4620,,,4,5
t2__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,,0,7,1,249,7.6,0,0,1,0,17703,1,1,1,1
t2__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,,1,9,1,244,7.8,0,0,1,0,16309,1,1,1,1
t2__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,,2,9,1,237,7.6,0,0,1,0,18881,1,1,1,1
t2__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,,3,7,1,203,8.4,0,0,1,0,17844,1,1,1,1
t2__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,,4,16,1,797,0.1999999999999993,2.1156,0.6342,0.8624,0.7744,14547,,,6,7
t2__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,,5,8,1,269,7.8,0,0,1,0,17232,1,1,1,1
t2__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,,6,7,1,194,8.2,0,0,1,0,17407,1,1,1,1
t2__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,,7,10,1,289,7.8,0,0,1,0,17662,1,1,1,1
t2__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,,8,17,2,893,0.1999999999999993,0.6703,0.0137,0.9995,0.3828,17302,2,1,4,3
t2__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,,9,7,1,227,7.6,0,0,1,0,17806,1,1,1,1
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,0,12,2,2383,0,0.8466,0.066,0.9744,0.5115,7908,,,4,7
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,1,14,2,1797,0,0.0369,0,1,0.5459,6524,1,1,1,1
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,2,13,2,1403,0,0.2787,0.0178,0.9932,0.625,6297,,,4,5
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,3,14,1,1332,0,0,0,1,0.6657,6153,1,1,1,1
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,4,12,1,1653,0,0.98,0.0352,0.9894,0.4605,6483,,,5,5
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,5,12,1,1324,0,1.0968,0.0201,0.993,0.318,6836,,,4,6
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,6,13,1,1707,0,0,0,1,0,5818,1,1,1,1
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,7,10,1,2650,0,0.9094,0.024,0.9852,0.5826,9195,,,6,5
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,8,17,1,1331,0,0.596,0.0325,0.9918,0.6336,7264,,,4,5
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,9,13,2,965,0,0.9543,0.0237,0.9919,0.4072,3874,,,5,6
t3__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,,0,13,1,600,2.5999999999999996,0,0,1,0.7205,16479,1,1,1,1
t3__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,,1,12,1,240,7.4,0,0,1,0,17240,1,1,1,1
t3__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,,2,9,1,176,8,0,0,1,0,16665,1,1,1,1
t3__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,,3,8,1,172,8.4,0,0,1,0,17326,1,1,1,1
t3__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,,4,13,1,217,7.2,0,0,1,0,17619,1,1,1,1
t3__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,,5,7,1,184,8.4,0,0,1,0,17530,1,1,1,1
t3__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,,6,18,1,770,1,0.6803,0.0049,0.9987,0.6153,17571,1,1,2,1
t3__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,,7,7,1,219,8.6,0,0,1,0,17424,1,1,1,1
t3__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,,8,2,0,351,9.4,0.498,0.0089,1,0,17210,1,1,2,1
t3__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,,9,7,1,182,8.4,0,0,1,0,16544,1,1,1,1
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,,0,12,1,2236,0,1.1577,0.0497,0.962,0.6208,8945,,,6,7
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,,1,11,2,1946,0,0.5238,0.0234,0.9881,0.2879,7613,,,4,6
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,,2,14,1,2135,0,1.0806,0.0611,0.9599,0.6319,8134,,,4,7
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,,3,13,2,3499,0,0.4063,0.0613,0.9793,0.69,9965,,,4,6
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,,4,14,2,2331,0,0,0,1,0.6803,7214,1,1,1,1
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,,5,10,2,1081,0,1.1717,0.0381,0.9726,0.4703,4450,,,4,7
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,,6,14,2,1776,0,0,0,1,0,8428,1,1,1,1
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,,7,15,1,2593,0,1.8491,0.2341,0.89,0.689,9547,,,6,8
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,,8,14,1,2572,0,0.8245,0.0593,0.9752,0.3964,9227,,,6,7
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,,9,12,2,815,0,0,0,1,0.7672,3277,1,1,1,1
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,0,11,2,244,7,0,0,1,0,13511,1,1,1,1
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,1,7,1,228,8.2,0,0,1,0,16656,1,1,1,1
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,2,9,1,259,7.6,0,0,1,0,15800,1,1,1,1
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,3,10,4,191,6.8,2.4521,0.4109,0.9333,0.7744,16910,,,8,7
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,4,8,2,264,7.6,0,0,1,0,13237,1,1,1,1
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,5,9,2,232,7,0,0,1,0,16559,1,1,1,1
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,6,9,2,233,6.4,0,0,1,0,16425,1,1,1,1
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,7,9,3,188,7.2,0,0,1,0.7744,16791,1,1,1,1
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,8,10,2,207,7,0,0,1,0,17181,1,1,1,1
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,9,10,1,202,7.4,2.7143,0.6704,0.7955,0.7744,17247,,,8,8
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,0,10,2,356,4,1.4016,0.2148,0.9941,0.61,1832,,,7,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,1,12,2,371,2.4000000000000004,1.5292,0.1604,0.8736,0.6523,2038,,,7,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,2,12,2,604,0,1.0019,0.0806,0.9362,0.6127,3201,,,6,7
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,3,8,2,402,1.5999999999999996,1.2387,0.0925,0.9331,0.376,1975,,,6,7
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,4,12,2,385,0.5999999999999996,1.0831,0.081,0.94,0.6343,1975,,,6,7
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,5,11,2,706,0,1.4948,0.1388,0.9412,0.6577,4277,,,7,8
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,6,10,2,503,0,1.0228,0.0256,0.9902,0.3267,2229,,,6,5
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,7,12,2,531,0,0.7244,0.0543,0.9753,0.5092,2562,,,6,5
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,8,11,2,444,0,2.0205,0.1947,0.8281,0.7455,2388,,,7,8
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,9,11,1,644,0,1.1408,0.0465,0.9859,0.7626,3040,,,6,5
t2__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,Spiral,0,12,1,215,7.6,1.0835,0.3935,0.9753,0.7491,16959,,,8,7
t2__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,Spiral,1,11,1,207,7.8,0,0,1,0,17323,1,1,1,1
t2__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,Spiral,2,9,1,215,8.2,0,0,1,0,16316,1,1,1,1
t2__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,Spiral,3,7,1,227,8.6,0,0,1,0,16229,1,1,1,1
t2__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,Spiral,4,12,1,227,7.2,1.4033,0.0188,0.9994,0.7744,17040,4,2,7,4
t2__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,Spiral,5,8,1,195,8.2,0,0,1,0,16261,1,1,1,1
t2__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,Spiral,6,10,3,207,6.6,1.1922,0.0143,0.9941,0.454,16743,3,2,5,4
t2__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,Spiral,7,8,2,228,8.2,0.5518,0.0101,0.9987,0.041,16156,3,2,4,3
t2__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,Spiral,8,8,1,203,8.4,0,0,1,0,15511,1,1,1,1
t2__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,Spiral,9,11,1,241,7.6,0,0,1,0,14542,1,1,1,1
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,0,11,2,487,0,1.249,0.0394,0.9851,0.5693,2700,,,4,5
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,1,9,2,638,0,1.6391,0.058,0.9718,0.7411,2750,,,7,8
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,2,11,1,736,0,0.8507,0.0151,0.9899,0.3323,3649,4,3,5,6
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,3,13,1,846,0,0.7675,0.0825,0.8972,0.6516,3778,,,7,8
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,4,11,1,920,0,1.0786,0.0149,0.9913,0.6828,3961,,,4,5
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,5,10,2,864,0,0,0,1,0.7549,4037,1,1,1,1
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,6,10,2,554,0,0.6066,0.0378,0.9862,0.4943,2413,,,6,7
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,7,12,1,1134,0.5999999999999996,1.3375,0.024,0.9827,0.7704,3524,,,4,3
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,8,9,2,426,0,0.9281,0.0329,0.9822,0.5939,2404,,,5,4
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,9,11,2,1072,0,0.9336,0.0267,0.9895,0.4805,4101,,,5,6
t3__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,Spiral,0,13,1,221,7.4,0.0737,0.0001,1,0.692,17324,1,1,1,1
t3__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,Spiral,1,11,1,228,7.4,0,0,1,0,17381,1,1,1,1
t3__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,Spiral,2,13,1,187,7,0.8119,0,1,0.7744,17055,1,1,1,1
t3__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,Spiral,3,9,1,183,8.2,0,0,1,0,16982,1,1,1,1
t3__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,Spiral,4,13,1,188,7,0,0,1,0,16865,1,1,1,1
t3__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,Spiral,5,11,1,228,7.4,0,0,1,0,16881,1,1,1,1
t3__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,Spiral,6,9,1,200,8,0,0,1,0,17109,1,1,1,1
t3__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,Spiral,7,12,2,192,6.4,2.602,0.3921,0.8236,0.7741,14710,,,8,8
t3__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,Spiral,8,12,1,185,7,0,0,1,0,17832,1,1,1,1
t3__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Intricate asymmetric patterns with heavy use of color,Spiral,9,14,1,203,6.4,0,0,1,0,15363,1,1,1,1
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,Spiral,0,13,2,836,0,1.1423,0.032,0.9833,0.5253,4576,,,4,5
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,Spiral,1,12,2,1350,0,0,0,1,0.7744,5310,1,1,1,1
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,Spiral,2,13,1,1093,0,0.5924,0.0157,0.9902,0.6819,4584,,,4,6
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,Spiral,3,11,1,929,0,1.0992,0.0153,0.9942,0.5518,4447,,,5,3
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,Spiral,4,12,1,2163,0,0.846,0.0173,0.9899,0.2842,8265,,,4,5
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,Spiral,5,12,2,2118,0,0.2543,0.0426,0.9875,0.7454,8378,,,7,6
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,Spiral,6,10,2,1546,0,0.5655,0.0165,0.9959,0.5253,6197,,,4,6
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,Spiral,7,11,2,1174,0,0.9836,0.1517,0.9164,0.7546,4561,,,7,8
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,Spiral,8,12,1,732,0,0,0,1,0.6169,3226,1,1,1,1
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Intricate asymmetric patterns with heavy use of color,Spiral,9,10,2,1764,0,1.5622,0.0592,0.9731,0.6666,5992,,,5,7
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,0,11,2,229,6.8,2.5505,0.3998,0.9704,0.7448,17767,,,7,8
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,1,11,3,251,6.8,0,0,1,0,16731,1,1,1,1
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,2,10,1,264,6.8,0,0,1,0,16609,1,1,1,1
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,3,10,1,193,7.4,0,0,1,0,17040,1,1,1,1
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,4,7,2,250,8,0,0,1,0,16987,1,1,1,1
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,5,7,1,195,8,0,0,1,0,15452,1,1,1,1
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,6,14,2,241,6.6,2.375,0.4442,0.9853,0.7383,17630,,,7,7
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,7,8,1,255,7.4,0,0,1,0,15410,1,1,1,1
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,8,7,1,257,7.6,0,0,1,0,16852,1,1,1,1
t1__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,9,12,1,191,7.6,0,0,1,0,16530,1,1,1,1
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,0,11,2,312,2.4000000000000004,2.2184,0.3749,0.9325,0.7744,2003,,,8,7
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,1,10,2,271,3.4000000000000004,1.4863,0.1448,0.8232,0.6023,1648,6,4,7,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,2,12,1,533,0.5999999999999996,1.8351,0.1794,0.8861,0.7744,2561,,,6,7
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,3,12,2,795,0,1.4417,0.0392,0.9856,0.4571,3292,,,5,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,4,12,2,625,0,1.7443,0.1696,0.8509,0.7073,2934,,,7,8
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,5,12,1,419,0.40000000000000036,1.0224,0.176,0.9182,0.7744,2534,,,7,8
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,6,10,2,472,0,1.4851,0.1431,0.9052,0.7744,2058,,,7,8
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,7,11,2,564,0,1.3241,0.0967,0.9973,0.3861,2627,,,7,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,8,10,2,527,0,2.6291,0.2574,0.8624,0.7744,2554,,,7,8
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,9,11,2,349,0,0.2993,0.024,0.981,0.314,2201,,,5,6
t2__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,Star,0,8,1,152,7.6,0,0,1,0,16147,1,1,1,1
t2__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,Star,1,10,1,206,8,2.506,0.1703,0.9403,0.7626,16339,,,8,7
t2__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,Star,2,10,1,231,8,0.6555,0.0061,0.9989,0.5636,16436,1,1,3,1
t2__gemini_3_flash_preview,single_edit,gemini-3-flash-preview,Organic and flowing — curves and spirals that suggest natural growth,Star,3,6,1,224,8.8,0,0,1,0,16765,1,1,1,1
