condition_id,run_type,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,final_parsimony,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty,best_baseline_a_xm_gemini_3_flash_preview,best_baseline_b_xm_gemini_3_flash_preview,score_vs_baseline_a_gemini_3_flash_preview,score_vs_baseline_b_gemini_3_flash_preview,best_baseline_a_xm_gpt_5_4_nano,best_baseline_b_xm_gpt_5_4_nano,score_vs_baseline_a_gpt_5_4_nano,score_vs_baseline_b_gpt_5_4_nano,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,score_drop_warnings,status,elapsed_ms,error
s1__t3__gpt_5_4_mini__m5v2rb,evolution,Line,In the style of Bridget Riley,gpt-5.4-mini,0,15,7.6,1,0,6.6,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,13,2,196,0,0,4,completed,54875,
s1__t3__gpt_5_4_mini__m5v2rb,evolution,Line,In the style of Bridget Riley,gpt-5.4-mini,1,15,8.2,1,1,7.2,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,10,2,169,0,0,0,completed,54036,
s1__t3__gpt_5_4_mini__m5v2rb,evolution,Line,In the style of Bridget Riley,gpt-5.4-mini,2,15,8.2,1,1,7.2,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,9,2,279,0,0,0,completed,53301,
s1__t3__gpt_5_4_mini__m5v2rb,evolution,Line,In the style of Bridget Riley,gpt-5.4-mini,3,15,13,7,4,6,4,5,7,6,7,7,-3.00,-3.00,8,8,-1.00,-1.00,9,2,185,1.9835,0.0868,0,completed,64369,
s1__t3__gpt_5_4_mini__m5v2rb,evolution,Line,In the style of Bridget Riley,gpt-5.4-mini,4,15,10,5,3,5,2,2,3,2,7,7,-5.00,-5.00,8,8,-5.00,-5.00,8,3,247,0.6872,0.0096,0,completed,59488,
s1__t3__gpt_5_4_mini__m5v2rb,feedback_only,Line,In the style of Bridget Riley,gpt-5.4-mini,0,15,13.4,7,6,6.4,4,3,8,6,7,7,-3.00,-3.00,8,8,0.00,0.00,7,2,199,2.339,0.236,0,completed,51158,
s1__t3__gpt_5_4_mini__m5v2rb,feedback_only,Line,In the style of Bridget Riley,gpt-5.4-mini,1,15,1,1,1,0,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,10,2,3023,0,0,1,completed,108035,
s1__t3__gpt_5_4_mini__m5v2rb,feedback_only,Line,In the style of Bridget Riley,gpt-5.4-mini,2,15,1,1,1,0,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,12,2,938,0,0,1,completed,55565,
s1__t3__gpt_5_4_mini__m5v2rb,feedback_only,Line,In the style of Bridget Riley,gpt-5.4-mini,3,15,1,1,1,0,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,11,2,1648,0,0,1,completed,64028,
s1__t3__gpt_5_4_mini__m5v2rb,feedback_only,Line,In the style of Bridget Riley,gpt-5.4-mini,4,15,3.8,1,1,2.8,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,12,2,650,0,0,0,completed,52626,
s1__t3__gpt_5_4_mini__m7v2rb,evolution,Line,In the style of Bridget Riley,gpt-5.4-mini,0,15,13.6,7,5,6.6,7,6,7,5,7,7,0.00,0.00,8,8,-1.00,-1.00,11,3,265,1.5552,0.0606,0,completed,77817,
s1__t3__gpt_5_4_mini__m7v2rb,evolution,Line,In the style of Bridget Riley,gpt-5.4-mini,1,15,9.6,4,4,5.6,3,2,4,3,7,7,-4.00,-4.00,8,8,-4.00,-4.00,11,3,445,2.67,0.0826,1,completed,70586,
s1__t3__gpt_5_4_mini__m7v2rb,evolution,Line,In the style of Bridget Riley,gpt-5.4-mini,2,15,14.4,8,7,6.4,4,3,6,4,7,7,-3.00,-3.00,8,8,-2.00,-2.00,7,2,138,1.5607,0.0676,1,completed,60382,
s1__t3__gpt_5_4_mini__m7v2rb,evolution,Line,In the style of Bridget Riley,gpt-5.4-mini,3,15,8.2,1,0,7.2,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,12,2,326,0,0,0,completed,63468,
s1__t3__gpt_5_4_mini__m7v2rb,evolution,Line,In the style of Bridget Riley,gpt-5.4-mini,4,15,13,7,7,6,6,5,7,6,7,7,-1.00,-1.00,8,8,-1.00,-1.00,11,1,520,1.7969,0.1575,1,completed,66457,
s1__t3__gpt_5_4_mini__m7v2rb,feedback_only,Line,In the style of Bridget Riley,gpt-5.4-mini,0,15,7.2,1,1,6.2,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,14,2,658,0,0,2,completed,78827,
s1__t3__gpt_5_4_mini__m7v2rb,feedback_only,Line,In the style of Bridget Riley,gpt-5.4-mini,1,15,3,1,1,2,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,13,2,871,0,0,1,completed,57271,
s1__t3__gpt_5_4_mini__m7v2rb,feedback_only,Line,In the style of Bridget Riley,gpt-5.4-mini,2,15,7.2,1,1,6.2,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,13,2,352,0,0,1,completed,59599,
s1__t3__gpt_5_4_mini__m7v2rb,feedback_only,Line,In the style of Bridget Riley,gpt-5.4-mini,3,15,8.6,1,1,7.6,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,11,1,326,0,0,0,completed,61655,
s1__t3__gpt_5_4_mini__m7v2rb,feedback_only,Line,In the style of Bridget Riley,gpt-5.4-mini,4,15,6.4,1,1,5.4,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,13,2,507,0,0,0,completed,59562,
