condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_2_5_flash_preview_09_2025_aesthetic,xm_gemini_2_5_flash_preview_09_2025_novelty,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty
t5__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",,2,15,2,1428,1.1999999999999993,0.1161,0,1,0,10649,,,,
t5__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",,3,7,1,206,6.6,0,0,1,0,16317,,,,
t5__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",,4,12,1,237,7,0,0,1,0,17359,,,,
t5__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",,5,10,1,269,7.4,0,0,1,0,17080,,,,
t5__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",,6,15,1,577,3.2,2.0791,0.1476,0.9999,0.7744,9701,,,,
t5__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",,7,9,1,265,8,0,0,1,0,16613,,,,
t5__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",,8,14,1,241,6.4,0,0,1,0,17483,,,,
t5__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",,9,14,2,702,2.2,0,0,1,0,17265,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,0,11,2,206,6.8,0,0,1,0,17517,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,1,12,1,268,7.6,0,0,1,0,14532,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,2,12,1,238,7.2,0,0,1,0,16631,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,3,12,1,223,6,0,0,1,0.7744,14013,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,4,12,2,239,6.8,0,0,1,0,16986,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,5,14,1,388,4.8,0,0,1,0.5626,13254,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,6,11,1,221,7.4,0,0,1,0,16743,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,7,10,1,216,7.6,0,0,1,0,14740,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,8,7,1,267,8.2,0,0,1,0,14904,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,9,10,2,217,7.4,0,0,1,0,16492,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,0,13,1,203,7.4,0,0,1,0,17280,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,1,10,2,214,6.8,0,0,1,0.7744,18752,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,2,12,1,179,7,1.1543,0.1089,0.9285,0.765,17126,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,3,13,2,191,6,0,0,1,0,19714,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,4,12,2,276,6.8,0,0,1,0,15727,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,5,6,1,211,8,0,0,1,0,17189,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,6,9,1,200,7.8,1.8647,0.26,0.9391,0.7744,15649,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,7,13,1,433,4.2,1.7414,0.3659,0.9254,0.5654,12404,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,8,11,1,195,7.4,0,0,1,0,16447,,,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,Line,9,11,1,284,7.2,0,0,1,0,17499,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,0,9,1,227,7,0,0,1,0,16341,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,1,11,1,202,6.4,2.3678,0.4723,0.8726,0.7743,18660,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,2,10,1,208,6.8,0,0,1,0,16654,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,3,12,1,224,6.8,0,0,1,0,16799,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,4,11,1,236,7,0,0,1,0,18053,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,5,9,1,247,7.8,0,0,1,0,16933,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,6,12,2,216,7,0,0,1,0,17382,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,7,8,1,203,8.2,0,0,1,0,16174,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,8,7,1,295,8.2,0,0,1,0,17763,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,9,9,1,211,7.8,0,0,1,0,16617,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,0,9,2,225,7.2,0,0,1,0,18153,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,1,15,2,724,3.4000000000000004,1.9777,0.293,0.8436,0.7699,13939,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,2,14,1,222,7.2,0,0,1,0,17942,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,3,13,1,226,6.8,0,0,1,0,16763,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,4,10,1,220,7,0,0,1,0,20297,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,5,10,1,228,5.6,0,0,1,0,17615,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,6,13,1,238,7,0,0,1,0,18228,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,7,10,1,241,7.8,0,0,1,0,16805,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,8,11,1,200,7,0,0,1,0,17210,,,,
t4__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,Line,9,2,0,305,8.6,0,0,1,0,17858,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,0,7,1,280,8,0,0,1,0,15754,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,1,13,2,511,4,1.6976,0.2762,0.7002,0.7727,13535,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,2,13,2,777,3,1.9484,0.3866,0.8952,0.6975,10449,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,3,9,1,281,7.8,0,0,1,0,17077,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,4,11,1,257,7.4,0,0,1,0,15268,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,5,12,1,229,6.8,0,0,1,0,16063,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,6,9,1,198,7.4,0,0,1,0,16510,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,7,11,1,240,7.4,0,0,1,0,17329,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,8,15,2,489,0,0,0,1,0,15936,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,9,8,2,230,7,0,0,1,0,18796,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,0,8,1,241,7.8,0,0,1,0,16170,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,1,9,1,214,6.6,0,0,1,0,16741,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,2,11,1,217,7.6,0,0,1,0,17275,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,3,6,1,262,7.4,0,0,1,0,17227,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,4,11,1,251,7.4,0,0,1,0,16287,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,5,8,1,213,7.2,0,0,1,0,16913,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,6,7,1,252,7.6,0,0,1,0,17588,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,7,11,1,216,7.2,0,0,1,0,16843,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,8,9,1,219,7.6,0,0,1,0,17221,,,,
t5__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",Line,9,14,1,876,3.2,2.4015,0.3965,0.6351,0.7611,15524,,,,
