condition_id,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,cross_model_score,cross_model_judge,best_baseline_a_xm,best_baseline_b_xm,score_vs_baseline_a,score_vs_baseline_b,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,status,elapsed_ms,error
s1__t2__gpt_5_4_mini__m5v2di,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,9.5,8,3,,gemini-3-flash-preview,,,,,7,0,1344,1.087,0.0139,completed,55216,
s1__t2__gpt_5_4_mini__m5v2di,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,7.5,7,1,,gemini-3-flash-preview,,,,,8,0,1262,1.6192,0.0285,completed,60405,
s2__t1__gpt_5_4_mini__m5v2db,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,9,8,2,,gemini-3-flash-preview,,,,,8,0,62,2.5698,0.3429,completed,50830,
s2__t1__gpt_5_4_mini__m5v2db,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,9.5,6,7,,gemini-3-flash-preview,,,,,4,0,167,2.1363,0.1067,completed,55965,
s2__t1__gpt_5_4_mini__m5v2db,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,10.5,8,5,,gemini-3-flash-preview,,,,,4,0,154,2.0191,0.13,completed,56953,
s2__t1__gpt_5_4_mini__m5v2db,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,11.5,8,7,,gemini-3-flash-preview,,,,,7,0,195,2.038,0.1176,completed,43815,
s2__t1__gpt_5_4_mini__m5v2db,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,11,8,6,,gemini-3-flash-preview,,,,,3,0,48,1.709,0.0552,completed,43711,
s2__t1__gpt_5_4_mini__m5v2db,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,9.5,8,3,,gemini-3-flash-preview,,,,,4,0,49,2.1757,0.0883,completed,42491,
s2__t1__gpt_5_4_mini__m5v2di,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,8,6,4,,gemini-3-flash-preview,,,,,10,0,782,1.7023,0.0753,completed,81766,
s2__t1__gpt_5_4_mini__m5v2di,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,10.5,8,5,,gemini-3-flash-preview,,,,,9,0,305,1.0869,0.0706,completed,58670,
s2__t1__gpt_5_4_mini__m5v2di,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,12,9,6,,gemini-3-flash-preview,,,,,6,0,181,2.1333,0.1897,completed,57595,
s2__t1__gpt_5_4_mini__m5v2di,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,3,2,2,1,gemini-3-flash-preview,,,,,8,0,902,0.5339,0.0054,completed,52189,
s2__t1__gpt_5_4_mini__m5v2di,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,11,8,6,,gemini-3-flash-preview,,,,,9,0,461,2.0067,0.0774,completed,47213,
s2__t1__gpt_5_4_mini__m5v2di,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,9,8,2,,gemini-3-flash-preview,,,,,9,1,182,2.1142,0.1438,completed,46884,
s2__t2__gpt_5_4_mini__m5v2db,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,10.5,9,3,7,gemini-3-flash-preview,,,,,3,0,184,0.7771,0.0527,completed,54136,
s2__t2__gpt_5_4_mini__m5v2db,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,6.5,5,3,,gemini-3-flash-preview,,,,,8,0,922,0.545,0.01,completed,63469,
s2__t2__gpt_5_4_mini__m5v2db,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,10.5,8,5,,gemini-3-flash-preview,,,,,7,0,134,1.3036,0.0736,completed,52882,
s2__t2__gpt_5_4_mini__m5v2db,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,9.5,8,3,,gemini-3-flash-preview,,,,,4,0,218,2.0326,0.0775,completed,50367,
s2__t2__gpt_5_4_mini__m5v2db,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,4.5,4,1,,gemini-3-flash-preview,,,,,6,0,659,0.3628,0.007,completed,54600,
s2__t2__gpt_5_4_mini__m5v2db,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,6,5,2,,gemini-3-flash-preview,,,,,4,0,69,1.275,0.0367,completed,44695,
s2__t2__gpt_5_4_mini__m5v2di,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,11,8,6,,gemini-3-flash-preview,,,,,7,1,559,1.9374,0.0706,completed,69893,
s2__t2__gpt_5_4_mini__m5v2di,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,11,8,6,,gemini-3-flash-preview,,,,,9,0,909,0.8495,0.0103,completed,74060,
s2__t2__gpt_5_4_mini__m5v2di,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,7,6,2,3,gemini-3-flash-preview,,,,,9,0,482,0.6862,0.0089,completed,66583,
s2__t2__gpt_5_4_mini__m5v2di,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,8.5,8,1,,gemini-3-flash-preview,,,,,11,0,1257,1.2327,0.0372,completed,69171,
s2__t2__gpt_5_4_mini__m5v2di,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,7,5,4,,gemini-3-flash-preview,,,,,10,0,395,1.5918,0.0638,completed,54422,
s2__t2__gpt_5_4_mini__m5v2di,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,8.5,8,1,,gemini-3-flash-preview,,,,,4,0,203,1.5002,0.0403,completed,44631,
