condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,8,10,0,322,0.438,0.0498,0.9547,0.6721,1992,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,9,10,2,405,1.4348,0.1182,0.9939,0.7744,3326,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,0,9,1,548,1.3356,0.0227,0.9861,0.5909,2658,3,2
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,1,10,2,594,0.7178,0.0128,0.9977,0.5611,2692,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,2,10,2,338,1.8451,0.1898,0.9276,0.7715,2051,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,3,10,2,424,0.5801,0.0341,0.9743,0.3207,2209,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,4,11,1,1027,1.0436,0.0592,0.9825,0.7539,4178,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,5,10,0,908,0.8367,0.0374,0.9808,0.4874,3974,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,6,11,2,585,1.4955,0.0471,0.9578,0.6898,2858,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,7,11,1,473,0.9737,0.0531,0.9792,0.5815,2665,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,8,11,1,1427,0.577,0.0167,0.9857,0.3577,6066,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,9,10,1,656,0.923,0.0194,0.991,0.4428,3331,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,0,11,1,426,0.4623,0.0213,0.9726,0.4196,2174,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,1,12,1,520,2.4942,0.417,0.9705,0.7744,3000,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,2,11,1,355,1.5345,0.1125,0.9794,0.7744,2061,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,3,12,1,492,0.3113,0.0053,0.9969,0.4021,2770,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,4,13,1,495,1.0565,0.1024,0.926,0.6097,2751,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,5,11,2,283,0.3287,0.1717,0.9917,0.7744,1824,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,6,11,1,1055,0.3468,0.0555,0.9897,0.6007,4461,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,7,10,2,334,0.9037,0.1186,0.9241,0.5533,2895,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,8,11,1,494,1.1581,0.1402,0.9079,0.6446,2365,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,9,11,1,747,0.5784,0.0057,0.9999,0.0301,3700,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,0,12,0,190,0.6517,0.0067,0.9996,0.4998,1774,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,1,10,2,671,1.4035,0.0572,0.9828,0.6132,2682,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,2,10,2,295,0.8253,0.0273,0.9873,0.6629,2064,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,3,13,1,408,0.3827,0.0336,0.9923,0.3475,2396,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,4,12,1,400,1.1926,0.0181,0.9889,0.7425,2304,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,5,11,1,1259,0.876,0.0155,0.9909,0.6915,5008,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,6,10,1,729,1.5363,0.0552,0.9796,0.7402,3281,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,7,11,0,686,1.1788,0.0247,0.9964,0.449,2923,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,8,10,2,899,0.833,0.0302,0.9927,0.653,3897,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,9,13,0,596,0.2313,0.0097,0.9964,0.3436,3631,,
