condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,6,11,1,948,0.3941,0.0128,0.9968,0.5149,4294,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,7,10,1,675,1.2218,0.0319,0.9903,0.5296,3030,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,8,12,1,483,0.2023,0.0113,0.9937,0.3509,2995,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,9,11,1,661,1.2747,0.0303,0.9732,0.5796,3256,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,0,10,1,357,1.4525,0.1431,0.8835,0.7673,2040,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,1,10,1,470,1.6266,0.0887,0.9114,0.5817,2332,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,2,11,2,779,1.5259,0.1765,0.8256,0.7658,3489,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,3,11,0,488,0.4132,0.0835,0.9806,0.5619,2299,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,4,10,1,300,1.6,0.1197,0.9933,0.5434,1839,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,5,11,2,920,0.7693,0.0815,0.9203,0.5565,4159,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,6,8,2,200,1.5114,0.0859,0.9962,0.7744,1394,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,7,10,1,903,1.791,0.2448,0.9407,0.7647,3826,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,8,10,2,383,1.5075,0.1654,0.9548,0.7744,2142,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,9,11,1,542,0.5246,0.0082,0.9898,0.273,2643,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,0,12,1,417,0.983,0.0475,0.9433,0.519,2152,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,1,9,1,363,2.0396,0.0951,0.9975,0.7744,1842,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,2,11,1,439,1.0789,0.1395,0.933,0.7218,2552,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,3,12,2,399,1.674,0.1717,0.8779,0.5594,2203,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,4,10,0,438,2.5446,0.4211,0.8406,0.7744,2166,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,5,12,2,679,1.4064,0.194,0.9988,0.6638,3126,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,6,11,0,478,0.3462,0.0048,0.9984,0.4124,2646,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,7,8,0,183,2.3633,0.4024,0.8794,0.7744,1335,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,8,9,1,330,1.3094,0.082,0.9277,0.7515,1815,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,9,12,1,491,1.4195,0.1101,0.8755,0.7736,2516,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,0,10,1,1198,0.5607,0.0254,0.995,0.5423,5017,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,1,10,2,518,0.8438,0.0213,0.9794,0.6759,2440,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,2,11,1,580,0.6148,0.0274,0.9883,0.5625,2952,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,3,12,0,403,0.4403,0.0108,0.9995,0.1414,2917,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,4,11,1,630,0.4953,0.0723,0.9871,0.5044,3321,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,5,10,2,694,1.2731,0.0398,0.9816,0.685,3105,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,6,11,2,4653,1.0805,0.0984,0.8877,0.4222,12951,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,7,11,0,648,0.7532,0.0153,0.995,0.7702,3115,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,8,11,1,673,1.914,0.1532,0.8803,0.6935,3389,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,9,10,2,770,1.7111,0.2488,0.9863,0.5901,3533,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,0,11,1,540,1.3195,0.0468,0.9866,0.6769,3093,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,1,11,2,838,0.9611,0.0621,0.9971,0.5502,3928,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,2,11,1,735,0.5354,0.0091,0.9949,0.3695,4098,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,3,10,2,616,0.883,0.0437,0.9806,0.6575,2799,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,4,10,2,661,1.1012,0.0324,0.9759,0.7644,3020,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,5,11,0,416,0.505,0.0158,0.9934,0.2762,2100,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,6,12,1,856,0.5945,0.0087,0.9958,0.32,3638,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,7,12,1,1008,0.3722,0.0081,0.9987,0.2402,4146,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,8,12,1,513,0.7483,0.0202,0.9847,0.4667,3025,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,9,9,1,620,1.0573,0.0236,0.9877,0.6665,2835,,
