condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_2_5_flash_preview_09_2025_aesthetic,xm_gemini_2_5_flash_preview_09_2025_novelty
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,8,12,2,214,7,0,0,1,0.7526,17014,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,9,9,1,138,8.2,0,0,1,0,13633,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,0,9,1,203,7.8,2.25,0.3433,0.9123,0.7741,15622,6,5
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,1,9,1,282,7.6,0,0,1,0,17514,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,2,9,1,207,8.2,0,0,1,0,16961,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,3,11,2,191,7.6,1.8969,0.4665,0.9994,0.7744,26912,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,4,14,1,174,6.4,1.8681,0.5714,0.9999,0.7744,16196,3,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,5,11,0,189,7.4,0,0,1,0,15648,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,6,15,2,319,5.6,0,0,1,0.7529,16144,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,7,13,2,185,6.2,0.7037,0.0135,0.998,0.1892,38004,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,8,11,1,195,7.4,0,0,1,0,16939,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,9,12,1,202,6.8,0,0,1,0,32816,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,0,11,1,242,7.8,0,0,1,0,16671,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,1,8,1,129,8.4,0,0,1,0,16543,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,2,13,1,188,7,0,0,1,0,29297,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,3,12,1,224,6,0,0,1,0,17864,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,4,9,2,210,7,1.0904,0.012,0.9994,0.7735,17201,2,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,5,12,2,216,6.6,1.8306,0.0214,0.9894,0.7197,16416,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,6,12,2,203,7,0,0,1,0.747,14358,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,7,10,1,209,7.4,0,0,1,0,16715,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,8,13,1,265,7,0,0,1,0,17066,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,9,9,1,214,8,0,0,1,0,16761,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,0,9,1,208,8,0,0,1,0,14292,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,1,11,2,205,7.2,2.4473,0.3285,0.996,0.7744,16156,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,2,11,1,195,7.6,0,0,1,0,15557,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,3,15,1,182,6.4,0,0,1,0,15017,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,4,8,1,187,8.4,0,0,1,0,14083,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,5,6,1,207,8.8,0,0,1,0,15815,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,6,14,1,209,6,2.088,0.5061,0.9935,0.7744,16376,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,7,9,1,208,7.6,0,0,1,0,13238,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,8,10,1,228,7.6,0,0,1,0,18031,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Star,9,13,1,185,7.2,0,0,1,0,15608,1,1
